"ISBN;""Book-Title"";""Book-Author"";""Year-Of-Publication"";""Publisher"";""Image-URL-S"";""Image-URL-M"";""Image-URL-L""",,
"0590629719;""Clifford's Sports Day"";""Norman Bridwell"";""1996"";""Scholastic"";""http://images.amazon.com/images/P/0590629719.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0590629719.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0590629719.01.LZZZZZZZ.jpg""",,
"0671023616;""Postmortem (Kay Scarpetta Mysteries (Paperback))"";""Patricia Cornwell"";""1998"";""Pocket"";""http://images.amazon.com/images/P/0671023616.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0671023616.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0671023616.01.LZZZZZZZ.jpg""",,
"0671027387;""Deception Point"";""Dan Brown"";""2002"";""Pocket"";""http://images.amazon.com/images/P/0671027387.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0671027387.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0671027387.01.LZZZZZZZ.jpg""",,
"0684848783;""Tis : A Memoir"";""Frank McCourt"";""1999"";""Scribner"";""http://images.amazon.com/images/P/0684848783.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0684848783.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0684848783.01.LZZZZZZZ.jpg""",,
"0743486226;""Angels &amp; Demons"";""Dan Brown"";""2003"";""Atria"";""http://images.amazon.com/images/P/0743486226.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0743486226.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0743486226.01.LZZZZZZZ.jpg""",,
"0786863986;""A Monk Swimming"";""Malachy McCourt"";""1998"";""Hyperion"";""http://images.amazon.com/images/P/0786863986.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0786863986.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0786863986.01.LZZZZZZZ.jpg""",,
"0803251718;""Crazy Horse"";""Mari Sandoz"";""1961"";""University of Nebraska Press"";""http://images.amazon.com/images/P/0803251718.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0803251718.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0803251718.01.LZZZZZZZ.jpg""",,
"0804117934;""The Silent Cry (William Monk Novels (Paperback))"";""Anne Perry"";""1998"";""Ivy Books"";""http://images.amazon.com/images/P/0804117934.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0804117934.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0804117934.01.LZZZZZZZ.jpg""",,
"140003180X;""The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency)"";""ALEXANDER MCCALL SMITH"";""2004"";""Anchor"";""http://images.amazon.com/images/P/140003180X.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/140003180X.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/140003180X.01.LZZZZZZZ.jpg""",,
"155874262X;""Chicken Soup for the Soul (Chicken Soup for the Soul)"";""Jack Canfield"";""1993"";""Health Communications"";""http://images.amazon.com/images/P/155874262X.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/155874262X.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/155874262X.01.LZZZZZZZ.jpg""",,
"0060987103;""Wicked: The Life and Times of the Wicked Witch of the West"";""Gregory Maguire"";""1996"";""Regan Books"";""http://images.amazon.com/images/P/0060987103.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0060987103.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0060987103.01.LZZZZZZZ.jpg""",,
"0151008116;""Life of Pi"";""Yann Martel"";""2002"";""Harcourt"";""http://images.amazon.com/images/P/0151008116.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0151008116.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0151008116.01.LZZZZZZZ.jpg""",,
"0375704965;""A Judgement in Stone"";""Ruth Rendell"";""2000"";""Vintage Books USA"";""http://images.amazon.com/images/P/0375704965.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0375704965.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0375704965.01.LZZZZZZZ.jpg""",,
"0525947647;""Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right"";""Al Franken"";""2003"";""Dutton Books"";""http://images.amazon.com/images/P/0525947647.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0525947647.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0525947647.01.LZZZZZZZ.jpg""",,
"0804111359;""Secret History"";""DONNA TARTT"";""1993"";""Ballantine Books"";""http://images.amazon.com/images/P/0804111359.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0804111359.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0804111359.01.LZZZZZZZ.jpg""",,
"1558744150;""Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper))"";""Jack Canfield"";""1996"";""Health Communications"";""http://images.amazon.com/images/P/1558744150.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/1558744150.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/1558744150.01.LZZZZZZZ.jpg""",,
"0435272683;""Great Expectations (Heinemann Guided Readers)"";""John Milne"";""1995"";""Delta Systems"";""http://images.amazon.com/images/P/0435272683.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0435272683.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0435272683.01.LZZZZZZZ.jpg""",,
"0316782505;""The Weight of Water"";""Anita Shreve"";""2001"";""Little"," Brown"";""http://images.amazon.com/images/P/0316782505.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0316782505.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0316782505.01.LZZZZZZZ.jpg""",
"006102063X;""Moving Pictures (Discworld Novels (Paperback))"";""Terry Pratchett"";""2002"";""HarperTorch"";""http://images.amazon.com/images/P/006102063X.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/006102063X.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/006102063X.01.LZZZZZZZ.jpg""",,
"0060013117;""Night Watch"";""Terry Pratchett"";""2002"";""HarperCollins"";""http://images.amazon.com/images/P/0060013117.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0060013117.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0060013117.01.LZZZZZZZ.jpg""",,
"0060199563;""Thief of Time"";""Terry Pratchett"";""2001"";""HarperCollins Publishers"";""http://images.amazon.com/images/P/0060199563.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0060199563.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0060199563.01.LZZZZZZZ.jpg""",,
"006052779X;""Charlotte's Web Book and Charm (Charming Classics)"";""E. B. White"";""2003"";""HarperFestival"";""http://images.amazon.com/images/P/006052779X.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/006052779X.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/006052779X.01.LZZZZZZZ.jpg""",,
"0060563079;""Peter Pan: The Original Story (Peter Pan)"";""J. M. Barrie"";""2003"";""HarperFestival"";""http://images.amazon.com/images/P/0060563079.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0060563079.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0060563079.01.LZZZZZZZ.jpg""",,
"0060809027;""My Friend Flicka"";""Mary O'Hara"";""1988"";""Perennial"";""http://images.amazon.com/images/P/0060809027.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0060809027.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0060809027.01.LZZZZZZZ.jpg""",,
"0061040967;""The Last Hero : A Discworld Fable (Discworld Novels (Hardcover))"";""Terry Pratchett"";""2001"";""HarperCollins"";""http://images.amazon.com/images/P/0061040967.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0061040967.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0061040967.01.LZZZZZZZ.jpg""",,
"0061050474;""Jingo: A Discworld Novel (Discworld Series/Terry Pratchett)"";""Terry Pratchett"";""1998"";""HarperPrism"";""http://images.amazon.com/images/P/0061050474.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0061050474.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0061050474.01.LZZZZZZZ.jpg""",,
"0061052515;""Maskerade: A Novel of Discworld (Pratchett", Terry. Discworld Series (New York," N.Y.).)"";""Terry Pratchett"";""1997"";""HarperPrism"";""http://images.amazon.com/images/P/0061052515.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0061052515.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0061052515.01.LZZZZZZZ.jpg"""
"0061052523;""Interesting Times: A Novel of Discworld"";""Terry Pratchett"";""1997"";""Harpercollins"";""http://images.amazon.com/images/P/0061052523.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0061052523.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0061052523.01.LZZZZZZZ.jpg""",,
"0064472264;""On the Bright Side"," I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson"";""Louise Rennison"";""2002"";""HarperTempest"";""http://images.amazon.com/images/P/0064472264.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0064472264.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0064472264.01.LZZZZZZZ.jpg""",
"0140620664;""Mansfield Park (Penguin Popular Classics)"";""Jane Austen"";""1994"";""Penguin Books Ltd"";""http://images.amazon.com/images/P/0140620664.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0140620664.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0140620664.01.LZZZZZZZ.jpg""",,
"0312148267;""The Wind in the Willows"";""Kenneth Grahame"";""1996"";""St. Martin's Press"";""http://images.amazon.com/images/P/0312148267.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0312148267.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0312148267.01.LZZZZZZZ.jpg""",,
"0312156960;""The Winter King: A Novel of Arthur (The Warlord Chronicles: I)"";""Bernard Cornwell"";""1997"";""St. Martin's Griffin"";""http://images.amazon.com/images/P/0312156960.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0312156960.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0312156960.01.LZZZZZZZ.jpg""",,
"0312890044;""Moonheart (Newford)"";""Charles de Lint"";""1994"";""Orb Books"";""http://images.amazon.com/images/P/0312890044.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0312890044.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0312890044.01.LZZZZZZZ.jpg""",,
"034543191X;""The King of Elfland's Daughter (Del Rey Impact)"";""Edward John Moreton Drax Plunkett Dunsany"";""1999"";""Del Rey Books"";""http://images.amazon.com/images/P/034543191X.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/034543191X.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/034543191X.01.LZZZZZZZ.jpg""",,
"0373836023;""Powder and Patch"";""Georgette Heyer"";""2004"";""Harlequin"";""http://images.amazon.com/images/P/0373836023.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0373836023.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0373836023.01.LZZZZZZZ.jpg""",,
"0375751513;""The Picture of Dorian Gray (Modern Library (Paperback))"";""OSCAR WILDE"";""1998"";""Modern Library"";""http://images.amazon.com/images/P/0375751513.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0375751513.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0375751513.01.LZZZZZZZ.jpg""",,
"0375801677;""The Iron Giant"";""Ted Hughes"";""1999"";""Knopf Books for Young Readers"";""http://images.amazon.com/images/P/0375801677.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0375801677.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0375801677.01.LZZZZZZZ.jpg""",,
"0375814248;""James and the Giant Peach"";""ROALD DAHL"";""2002"";""Knopf Books for Young Readers"";""http://images.amazon.com/images/P/0375814248.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0375814248.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0375814248.01.LZZZZZZZ.jpg""",,
"0375823352;""The Amber Spyglass (His Dark Materials"," Book 3)"";""PHILIP PULLMAN"";""2002"";""Knopf Books for Young Readers"";""http://images.amazon.com/images/P/0375823352.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0375823352.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0375823352.01.LZZZZZZZ.jpg""",
"037582345X;""The Golden Compass (His Dark Materials"," Book 1)"";""PHILIP PULLMAN"";""2002"";""Knopf Books for Young Readers"";""http://images.amazon.com/images/P/037582345X.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/037582345X.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/037582345X.01.LZZZZZZZ.jpg""",
"0375823468;""The Subtle Knife (His Dark Materials"," Book 2)"";""PHILIP PULLMAN"";""2002"";""Knopf Books for Young Readers"";""http://images.amazon.com/images/P/0375823468.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0375823468.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0375823468.01.LZZZZZZZ.jpg""",
"0380730448;""The Adrian Mole Diaries : The Secret Diary of Adrian Mole"," Aged 13 3/4 : The Growing Pains of Adrian Mole"";""Sue Townsend"";""1997"";""Perennial"";""http://images.amazon.com/images/P/0380730448.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0380730448.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0380730448.01.LZZZZZZZ.jpg""",
"0380973839;""Martian Chronicles"";""Ray Bradbury"";""1997"";""William Morrow"";""http://images.amazon.com/images/P/0380973839.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0380973839.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0380973839.01.LZZZZZZZ.jpg""",,
"0385327773;""The Great God Pan"";""Donna Jo Napoli"";""2003"";""Wendy Lamb Books"";""http://images.amazon.com/images/P/0385327773.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0385327773.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0385327773.01.LZZZZZZZ.jpg""",,
"0394586239;""Possession: A Romance"";""A. S. Byatt"";""1990"";""Random House Inc"";""http://images.amazon.com/images/P/0394586239.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0394586239.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0394586239.01.LZZZZZZZ.jpg""",,
"0439510112;""Born Confused"";""Tanuja Desai Hidier"";""2003"";""Push"";""http://images.amazon.com/images/P/0439510112.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0439510112.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0439510112.01.LZZZZZZZ.jpg""",,
"0440241413;""Confessions of a Shopaholic"";""SOPHIE KINSELLA"";""2003"";""Dell"";""http://images.amazon.com/images/P/0440241413.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0440241413.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0440241413.01.LZZZZZZZ.jpg""",,
"0451409256;""Making Minty Malone"";""Isabel Wolff"";""2000"";""Onyx Books"";""http://images.amazon.com/images/P/0451409256.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0451409256.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0451409256.01.LZZZZZZZ.jpg""",,
"0451523415;""Little Women (Signet Classic)"";""Louisa May Alcott"";""1988"";""Signet Classics"";""http://images.amazon.com/images/P/0451523415.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0451523415.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0451523415.01.LZZZZZZZ.jpg""",,
"0451526279;""Emma (Signet Classics (Paperback))"";""Jane Austen"";""1996"";""Signet Classics"";""http://images.amazon.com/images/P/0451526279.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0451526279.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0451526279.01.LZZZZZZZ.jpg""",,
"0451526341;""Animal Farm"";""George Orwell"";""2004"";""Signet"";""http://images.amazon.com/images/P/0451526341.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0451526341.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0451526341.01.LZZZZZZZ.jpg""",,
"0486415864;""Great Expectations (Dover Thrift Editions)"";""Charles Dickens"";""2001"";""Dover Publications"";""http://images.amazon.com/images/P/0486415864.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0486415864.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0486415864.01.LZZZZZZZ.jpg""",,
"0553280589;""Eva Luna"";""Isabel Allende"";""1989"";""Bantam Books"";""http://images.amazon.com/images/P/0553280589.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0553280589.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0553280589.01.LZZZZZZZ.jpg""",,
"0571197639;""Poisonwood Bible Edition Uk"";""Barbara Kingsolver"";""0"";""Faber Faber Inc"";""http://images.amazon.com/images/P/0571197639.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0571197639.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0571197639.01.LZZZZZZZ.jpg""",,
"0670035262;""The Green Man : Tales from the Mythic Forest"";""Ellen Datlow"";""2002"";""Viking Juvenile"";""http://images.amazon.com/images/P/0670035262.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0670035262.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0670035262.01.LZZZZZZZ.jpg""",,
"0679423079;""Nicholas Nickleby (Everyman's Library)"";""Charles Dickens"";""1993"";""Alfred A. Knopf"";""http://images.amazon.com/images/P/0679423079.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0679423079.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0679423079.01.LZZZZZZZ.jpg""",,
"0679751343;""Angels &amp; Insects : Two Novellas"";""A.S. BYATT"";""1994"";""Vintage"";""http://images.amazon.com/images/P/0679751343.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0679751343.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0679751343.01.LZZZZZZZ.jpg""",,
"0684833395;""Catch 22"";""Joseph Heller"";""1996"";""Simon &amp; Schuster"";""http://images.amazon.com/images/P/0684833395.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0684833395.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0684833395.01.LZZZZZZZ.jpg""",,
"0743245024;""The Forsyte Saga : The Man of Property and In Chancery"";""John Galsworthy"";""2002"";""Touchstone"";""http://images.amazon.com/images/P/0743245024.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0743245024.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0743245024.01.LZZZZZZZ.jpg""",,
"0749748001;""The Enchanted Wood"";""Enid Blyton"";""2002"";""Egmont Childrens Books"";""http://images.amazon.com/images/P/0749748001.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0749748001.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0749748001.01.LZZZZZZZ.jpg""",,
"0749748028;""The Folk of the Faraway Tree"";""Enid Blyton"";""2002"";""Egmont Childrens Books"";""http://images.amazon.com/images/P/0749748028.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0749748028.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0749748028.01.LZZZZZZZ.jpg""",,
"0963094424;""Angels and Visitations: A Miscellany"";""Neil Gaiman"";""1993"";""Dreamhaven Books"";""http://images.amazon.com/images/P/0963094424.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0963094424.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0963094424.01.LZZZZZZZ.jpg""",,
"1401201172;""League of Extraordinary Gentlemen"," Vol. 2 (Comic)"";""Alan Moore"";""2003"";""DC Comics"";""http://images.amazon.com/images/P/1401201172.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/1401201172.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/1401201172.01.LZZZZZZZ.jpg""",
"1563892278;""Preludes and Nocturnes (Sandman"," Book 1)"";""Neil Gaiman"";""1998"";""DC Comics"";""http://images.amazon.com/images/P/1563892278.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/1563892278.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/1563892278.01.LZZZZZZZ.jpg""",
"1563898586;""The League of Extraordinary Gentlemen"," Vol. 1"";""Alan Moore"";""2002"";""DC Comics"";""http://images.amazon.com/images/P/1563898586.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/1563898586.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/1563898586.01.LZZZZZZZ.jpg""",
"156971620X;""Harlequin Valentine"";""Neil Gaiman"";""2002"";""Dark Horse Comics"";""http://images.amazon.com/images/P/156971620X.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/156971620X.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/156971620X.01.LZZZZZZZ.jpg""",,
"1592571301;""Alpha Teach Yourself American Sign Language in 24 Hours (Alpha Teach Yourself in 24 Hours)"";""Trudy Suggs"";""2003"";""Alpha Books"";""http://images.amazon.com/images/P/1592571301.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/1592571301.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/1592571301.01.LZZZZZZZ.jpg""",,
"0374270325;""A Man in Full"";""Tom Wolfe"";""1998"";""Farrar Straus &amp; Giroux"";""http://images.amazon.com/images/P/0374270325.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0374270325.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0374270325.01.LZZZZZZZ.jpg""",,
"0375719180;""The Miracle Life of Edgar Mint: A Novel"";""Brady Udall"";""2002"";""Vintage Books USA"";""http://images.amazon.com/images/P/0375719180.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0375719180.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0375719180.01.LZZZZZZZ.jpg""",,
"0440235502;""October Sky: A Memoir"";""Homer Hickam"";""1999"";""Dell"";""http://images.amazon.com/images/P/0440235502.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0440235502.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0440235502.01.LZZZZZZZ.jpg""",,
"044023722X;""A Painted House"";""John Grisham"";""2001"";""Dell Publishing Company"";""http://images.amazon.com/images/P/044023722X.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/044023722X.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/044023722X.01.LZZZZZZZ.jpg""",,
"1573225487;""The Romance Reader"";""Pearl Abraham"";""1996"";""Riverhead Books"";""http://images.amazon.com/images/P/1573225487.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/1573225487.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/1573225487.01.LZZZZZZZ.jpg""",,
"1853260673;""Far from the Madding Crowd (Wordsworth Classics)"";""Thomas Hardy"";""1997"";""NTC/Contemporary Publishing Company"";""http://images.amazon.com/images/P/1853260673.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/1853260673.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/1853260673.01.LZZZZZZZ.jpg""",,
"0060977477;""The Perfect Storm : A True Story of Men Against the Sea"";""Sebastian Junger"";""1999"";""Perennial"";""http://images.amazon.com/images/P/0060977477.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0060977477.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0060977477.01.LZZZZZZZ.jpg""",,
"0345391691;""The Battle for God"";""Karen Armstrong"";""2001"";""Ballantine Books"";""http://images.amazon.com/images/P/0345391691.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0345391691.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0345391691.01.LZZZZZZZ.jpg""",,
